heart_rate,steps,calories,azm,resting_hr,hrv,br,sleep_minutes,sleep_efficiency,stress_level
99,27,66,1,70,20,14,396,0.93,High
94,45,51,0,60,23,17,464,0.87,High
67,609,152,18,70,41,12,329,0.94,Low
77,461,108,7,67,30,15,448,0.83,Medium
88,438,72,9,70,35,15,362,0.85,Medium
104,38,41,0,72,19,15,427,0.93,High
85,456,108,7,69,25,17,336,0.73,Medium
75,368,77,4,58,33,13,403,0.76,Medium
70,895,130,19,69,44,19,460,0.81,Low
73,470,115,4,59,28,15,404,0.74,Medium
63,763,108,11,57,49,16,461,0.94,Low
66,220,109,5,55,32,19,370,0.95,Medium
64,871,174,12,61,46,17,397,0.76,Low
54,670,107,14,57,43,12,305,0.71,Low
74,634,111,13,69,48,18,389,0.88,Low
70,784,160,14,74,42,19,382,0.87,Low
92,339,79,8,74,27,13,459,0.72,Medium
98,32,56,2,70,17,19,369,0.71,High
88,114,58,2,65,17,15,337,0.85,High
95,144,45,1,72,18,13,365,0.87,High
81,207,129,8,62,26,19,362,0.81,Medium
70,679,175,14,64,40,12,358,0.94,Low
69,395,97,4,58,32,19,384,0.79,Medium
84,353,124,7,72,39,17,415,0.94,Medium
67,709,121,13,69,48,18,305,0.82,Low
87,174,63,0,65,23,16,478,0.94,High
74,298,123,4,63,33,12,303,0.84,Medium
83,492,97,7,64,34,18,414,0.85,Medium
72,411,113,8,61,37,19,410,0.85,Medium
51,771,107,16,55,43,12,339,0.8,Low
63,671,126,15,56,46,17,436,0.84,Low
93,220,110,8,74,34,18,321,0.79,Medium
59,797,108,18,56,45,15,314,0.94,Low
91,428,122,8,73,34,16,417,0.72,Medium
100,184,42,3,72,18,17,374,0.76,High
61,608,142,13,62,46,12,312,0.74,Low
99,137,59,0,72,18,12,436,0.93,High
100,19,82,3,68,19,18,428,0.82,High
77,263,81,9,66,33,17,354,0.7,Medium
67,559,104,14,61,45,12,475,0.84,Low
83,261,86,6,73,38,16,443,0.72,Medium
74,217,97,7,60,34,18,440,0.88,Medium
76,405,96,6,62,25,17,442,0.87,Medium
89,10,79,2,56,23,15,393,0.78,High
86,128,83,3,56,18,12,326,0.71,High
86,36,66,0,65,19,17,380,0.74,High
76,394,128,7,62,26,18,347,0.8,Medium
75,875,137,18,70,44,14,471,0.79,Low
86,29,42,0,58,17,13,437,0.92,High
95,66,42,3,73,20,18,325,0.71,High
85,43,60,3,64,18,12,462,0.74,High
68,835,112,12,61,43,14,308,0.79,Low
68,626,143,16,73,41,15,321,0.82,Low
87,28,54,2,66,24,16,448,0.71,High
59,702,101,15,60,43,15,475,0.93,Low
65,575,173,18,61,45,13,345,0.86,Low
82,167,80,3,62,18,16,373,0.95,High
73,290,114,9,58,31,12,441,0.71,Medium
80,646,128,14,71,49,19,439,0.76,Low
70,404,109,6,57,32,16,391,0.82,Medium
63,532,168,14,64,44,15,309,0.74,Low
74,585,115,17,67,43,13,306,0.91,Low
64,605,168,15,69,43,19,368,0.73,Low
76,28,50,0,55,19,18,382,0.91,High
75,736,167,12,68,47,15,396,0.94,Low
90,185,64,0,61,24,15,473,0.84,High
75,315,120,7,58,38,16,439,0.94,Medium
83,251,110,7,70,39,15,301,0.88,Medium
72,867,174,11,70,43,17,457,0.83,Low
79,332,109,5,66,29,19,322,0.9,Medium
74,263,73,9,60,29,16,408,0.77,Medium
91,47,67,3,65,18,18,371,0.81,High
86,305,120,8,69,30,12,428,0.94,Medium
103,147,55,1,71,17,14,437,0.88,High
54,825,168,12,58,48,19,302,0.7,Low
72,449,122,4,59,37,13,339,0.73,Medium
79,202,103,5,68,34,17,318,0.79,Medium
79,460,115,9,68,33,18,339,0.88,Medium
101,48,77,3,67,17,14,361,0.91,High
79,12,52,0,58,19,18,343,0.89,High
70,518,122,16,71,41,13,454,0.71,Low
84,364,122,7,70,28,14,302,0.8,Medium
78,426,120,5,61,37,15,353,0.87,Medium
92,145,67,0,67,16,19,423,0.72,High
92,302,99,7,73,25,19,373,0.91,Medium
79,168,52,3,55,16,15,311,0.73,High
84,359,128,9,68,33,18,385,0.89,Medium
82,328,99,7,69,25,16,417,0.78,Medium
94,70,69,2,63,17,17,473,0.89,High
77,168,40,3,57,19,19,397,0.72,High
83,437,115,6,72,37,16,391,0.76,Medium
78,327,77,8,59,26,12,367,0.81,Medium
77,72,47,0,56,19,18,458,0.74,High
79,483,128,6,60,33,17,314,0.88,Medium
86,224,70,8,68,32,12,401,0.71,Medium
86,420,71,8,70,30,12,361,0.74,Medium
67,623,161,18,61,44,14,352,0.73,Low
71,587,175,14,66,41,18,443,0.92,Low
66,282,89,5,55,34,16,308,0.83,Medium
58,606,108,18,62,47,12,474,0.82,Low
66,678,123,19,69,48,19,404,0.93,Low
69,830,149,16,65,42,18,431,0.82,Low
85,312,93,4,69,31,16,411,0.81,Medium
94,42,65,2,62,16,16,419,0.84,High
74,399,119,8,58,26,18,312,0.73,Medium
79,488,123,5,68,36,16,476,0.85,Medium
90,129,82,1,59,24,13,310,0.8,High
77,591,137,17,70,40,13,466,0.73,Low
57,540,124,17,58,47,19,445,0.72,Low
83,478,88,9,69,34,17,444,0.87,Medium
65,530,121,10,61,43,16,346,0.83,Low
62,673,156,15,61,49,16,433,0.82,Low
78,75,55,2,57,24,15,405,0.8,High
84,452,123,6,72,38,15,387,0.95,Medium
75,256,100,4,63,35,12,454,0.94,Medium
65,584,141,17,62,46,17,340,0.89,Low
77,250,127,4,63,30,18,418,0.72,Medium
73,749,157,18,67,47,17,370,0.83,Low
79,865,176,14,72,40,13,465,0.93,Low
69,623,129,15,61,48,18,430,0.94,Low
87,372,90,9,73,29,19,343,0.83,Medium
100,74,67,2,69,19,12,350,0.87,High
69,389,74,7,59,39,15,461,0.8,Medium
71,669,121,16,67,45,16,323,0.83,Low
69,626,120,17,72,46,12,449,0.82,Low
96,132,76,2,69,21,12,379,0.91,High
78,465,78,4,62,37,14,322,0.84,Medium
70,808,176,10,70,44,14,479,0.71,Low
74,601,167,14,72,44,17,334,0.79,Low
90,31,68,0,61,19,15,455,0.82,High
86,180,64,1,62,19,18,447,0.92,High
104,7,43,2,72,18,13,302,0.92,High
76,860,168,16,72,45,19,433,0.94,Low
83,596,174,10,74,41,18,316,0.71,Low
107,88,87,2,73,18,19,318,0.82,High
80,517,149,11,71,46,15,312,0.75,Low
84,176,47,0,57,16,18,377,0.76,High
59,832,108,14,58,48,12,348,0.94,Low
73,229,106,6,63,28,14,457,0.72,Medium
89,179,59,2,58,22,13,362,0.82,High
87,417,79,6,68,37,12,420,0.92,Medium
56,837,145,11,61,44,15,412,0.71,Low
85,313,121,5,73,33,16,435,0.93,Medium
75,328,70,9,62,38,19,357,0.87,Medium
91,145,61,2,66,21,13,308,0.7,High
66,786,149,16,69,40,12,324,0.86,Low
79,248,120,6,66,32,15,366,0.89,Medium
81,312,77,5,64,28,17,394,0.78,Medium
75,863,117,16,68,42,12,468,0.9,Low
76,319,114,9,63,37,17,449,0.82,Medium
80,50,77,1,55,17,17,358,0.84,High
55,733,173,10,55,43,15,319,0.83,Low
96,43,70,1,63,21,19,429,0.87,High
88,112,61,0,62,17,18,473,0.73,High
70,368,80,8,60,26,18,390,0.77,Medium
83,470,80,6,69,32,14,451,0.88,Medium
79,348,87,9,67,32,14,446,0.8,Medium
56,870,127,12,56,41,13,330,0.72,Low
105,114,88,0,73,16,15,453,0.88,High
70,716,141,11,70,46,15,418,0.89,Low
87,107,66,2,56,24,15,445,0.92,High
95,131,87,3,71,24,12,395,0.91,High
58,526,144,10,62,40,15,332,0.93,Low
80,597,174,16,74,43,12,372,0.78,Low
83,353,82,9,73,30,18,393,0.9,Medium
101,114,80,0,73,23,12,306,0.86,High
73,595,137,19,65,41,18,423,0.8,Low
77,188,54,2,55,20,12,314,0.91,High
63,861,122,10,56,42,16,465,0.85,Low
78,82,66,3,55,21,18,402,0.73,High
81,322,107,8,71,39,13,425,0.82,Medium
82,458,73,6,70,37,17,351,0.77,Medium
72,500,138,13,72,48,16,396,0.83,Low
71,879,114,13,71,47,14,318,0.95,Low
73,739,157,11,70,41,15,340,0.8,Low
77,454,118,8,58,37,19,355,0.94,Medium
96,25,68,3,65,20,16,446,0.73,High
104,67,80,3,74,21,12,417,0.89,High
65,672,116,11,57,49,17,322,0.82,Low
89,95,75,1,58,24,15,378,0.94,High
106,114,74,3,72,19,18,360,0.73,High
90,264,114,9,73,26,17,449,0.71,Medium
72,802,143,18,68,42,19,412,0.88,Low
66,634,111,18,62,40,16,346,0.78,Low
88,116,60,3,63,24,13,310,0.75,High
66,554,114,13,69,45,17,307,0.73,Low
91,1,79,2,58,19,18,320,0.81,High
83,475,96,8,64,36,19,413,0.81,Medium
65,879,174,19,67,45,18,361,0.82,Low
78,168,77,0,56,24,12,456,0.86,High
73,385,99,6,57,31,19,386,0.9,Medium
62,686,138,18,65,42,16,422,0.81,Low
63,513,144,15,68,46,19,452,0.95,Low
95,80,48,3,71,19,15,442,0.75,High
63,651,153,16,61,49,17,444,0.8,Low
62,713,156,10,65,44,17,459,0.76,Low
93,9,53,3,59,19,18,400,0.94,High
93,102,79,0,68,15,18,411,0.74,High
93,43,80,0,60,16,17,357,0.75,High
87,239,75,9,69,39,15,446,0.8,Medium
50,895,112,11,55,48,14,360,0.77,Low
65,713,133,18,60,41,19,457,0.87,Low
64,599,122,13,55,47,19,334,0.86,Low
95,153,67,2,63,16,12,410,0.92,High
83,38,64,1,58,24,18,316,0.79,High
81,740,144,16,72,40,17,434,0.75,Low
72,808,116,10,70,40,16,368,0.81,Low
73,517,170,15,64,42,15,360,0.79,Low
103,81,70,2,71,15,16,456,0.85,High
90,175,40,0,66,17,19,478,0.76,High
73,233,124,6,56,38,14,419,0.76,Medium
104,121,81,1,74,17,14,456,0.9,High
100,18,71,1,66,20,19,336,0.91,High
82,429,106,7,72,34,17,305,0.93,Medium
87,167,85,2,60,15,19,347,0.73,High
71,576,175,12,62,41,17,426,0.8,Low
85,197,87,2,57,16,16,352,0.8,High
88,68,71,1,59,16,14,464,0.85,High
70,209,125,7,57,33,19,442,0.73,Medium
89,93,62,2,56,18,15,406,0.83,High
78,398,74,5,63,37,17,472,0.76,Medium
62,664,152,16,59,41,18,369,0.85,Low
94,105,87,2,63,20,15,446,0.86,High
89,37,68,3,55,17,16,362,0.72,High
106,102,72,3,73,23,12,430,0.79,High
79,173,71,0,56,16,12,458,0.78,High
55,544,173,15,58,41,17,465,0.77,Low
87,434,93,4,71,33,12,390,0.9,Medium
72,565,100,16,71,43,17,334,0.85,Low
54,500,164,10,58,42,17,337,0.79,Low
96,114,78,1,64,20,16,373,0.77,High
56,501,165,13,61,43,18,444,0.95,Low
98,69,42,2,71,20,16,428,0.89,High
63,782,139,19,68,42,14,407,0.87,Low
80,42,71,3,59,21,15,390,0.73,High
68,322,80,4,58,27,12,307,0.88,Medium
62,803,161,13,55,48,17,341,0.73,Low
56,544,145,16,57,44,16,407,0.81,Low
92,81,51,1,69,19,19,398,0.74,High
69,898,113,16,65,45,16,474,0.72,Low
70,880,173,10,72,41,18,413,0.89,Low
67,326,121,8,55,30,14,329,0.91,Medium
74,870,157,13,66,44,17,343,0.84,Low
64,876,135,13,67,47,14,349,0.8,Low
86,223,118,8,69,37,17,329,0.72,Medium
96,166,74,3,74,17,15,413,0.89,High
86,460,94,4,67,36,17,429,0.8,Medium
56,738,138,17,60,43,19,432,0.76,Low
78,84,48,1,57,15,12,338,0.83,High
67,398,125,6,55,33,17,358,0.83,Medium
63,737,177,18,61,45,16,463,0.76,Low
88,197,86,2,58,20,14,301,0.72,High
67,644,137,18,65,49,14,376,0.75,Low
97,135,49,0,67,15,18,331,0.79,High
89,53,60,0,62,20,16,474,0.94,High
72,354,90,7,59,30,12,303,0.74,Medium
64,587,114,14,57,46,17,325,0.8,Low
81,588,160,12,72,48,19,350,0.89,Low
92,126,66,1,70,23,12,359,0.76,High
92,143,72,0,66,20,16,360,0.74,High
61,784,151,18,59,49,19,315,0.85,Low
80,785,141,16,71,40,16,356,0.79,Low
84,202,113,8,68,39,19,424,0.75,Medium
100,51,86,1,67,19,17,334,0.87,High
86,19,56,2,61,19,18,373,0.82,High
75,340,128,4,63,36,19,382,0.7,Medium
54,597,118,16,55,46,13,308,0.88,Low
74,534,129,14,74,42,12,411,0.75,Low
88,365,74,7,72,26,19,446,0.78,Medium
81,732,169,14,74,44,19,421,0.94,Low
62,874,151,14,65,43,15,440,0.88,Low
58,859,174,11,56,47,17,354,0.84,Low
85,116,71,1,63,15,16,323,0.75,High
62,501,100,10,64,46,17,390,0.86,Low
69,306,86,8,58,27,16,315,0.76,Medium
54,739,109,16,58,48,17,313,0.95,Low
77,279,83,9,59,39,16,478,0.93,Medium
83,154,81,0,57,22,13,408,0.78,High
66,672,178,10,63,46,15,414,0.71,Low
75,475,87,8,65,30,12,379,0.83,Medium
99,141,40,3,66,20,15,479,0.74,High
85,233,81,6,67,26,13,429,0.72,Medium
66,764,126,11,71,44,15,407,0.82,Low
106,141,42,3,72,19,13,449,0.87,High
86,49,61,3,61,19,18,410,0.93,High
86,176,46,3,63,17,19,300,0.85,High
90,231,118,4,74,35,16,425,0.74,Medium
73,235,92,8,62,27,12,357,0.8,Medium
75,770,116,11,69,42,15,384,0.88,Low
86,67,67,2,62,17,15,391,0.9,High
93,120,67,3,66,20,13,336,0.84,High
83,447,96,7,69,28,16,346,0.89,Medium
78,740,130,14,74,40,12,447,0.87,Low
93,162,74,1,71,20,16,453,0.73,High
78,867,100,13,72,43,16,448,0.76,Low
93,116,80,0,62,16,12,391,0.89,High
100,3,71,2,73,17,12,415,0.93,High
94,154,40,3,70,21,19,312,0.95,High
70,826,168,19,72,45,19,448,0.71,Low
82,280,123,7,69,34,19,370,0.93,Medium
74,762,169,14,66,43,12,392,0.82,Low
81,426,92,7,67,33,15,411,0.71,Medium
74,390,125,5,56,37,12,331,0.9,Medium
71,222,104,6,58,36,13,376,0.72,Medium
68,508,119,12,69,49,17,458,0.89,Low
61,750,174,19,62,49,12,366,0.81,Low
81,71,86,0,59,20,14,462,0.92,High
64,596,155,13,63,40,12,388,0.92,Low
91,63,71,3,68,20,15,348,0.8,High
76,457,128,8,60,36,15,455,0.83,Medium
61,629,133,14,56,46,15,372,0.76,Low
84,144,89,0,61,17,12,459,0.85,High
79,270,106,8,60,36,16,309,0.72,Medium
59,537,178,15,58,47,18,458,0.81,Low
89,222,84,9,71,39,14,360,0.89,Medium
84,45,53,3,60,16,12,393,0.87,High
62,855,173,11,66,47,15,375,0.77,Low
83,305,112,5,68,32,14,451,0.71,Medium
98,111,40,2,66,19,18,404,0.94,High
86,233,78,5,71,26,18,329,0.79,Medium
51,766,161,13,55,42,15,436,0.8,Low
84,153,79,3,61,21,12,394,0.9,High
63,781,109,11,61,47,12,302,0.8,Low
70,820,142,18,74,49,13,444,0.92,Low
77,543,124,15,74,42,16,437,0.93,Low
99,153,77,2,68,17,17,310,0.78,High
66,524,110,10,70,40,14,393,0.83,Low
65,870,112,15,62,45,13,433,0.79,Low
93,98,60,2,62,18,14,393,0.79,High
67,836,110,11,66,46,14,308,0.94,Low
96,194,55,1,71,21,12,423,0.73,High
80,59,66,0,59,21,16,383,0.8,High
89,140,61,0,60,18,14,333,0.77,High
69,235,129,5,58,29,16,454,0.85,Medium
71,439,121,5,58,33,12,394,0.77,Medium
84,290,96,6,67,34,16,442,0.84,Medium
71,685,133,18,65,44,19,309,0.75,Low
86,21,56,0,63,23,15,436,0.79,High
95,179,44,0,66,15,14,416,0.91,High
66,563,147,15,67,43,18,356,0.9,Low
71,466,75,5,58,27,16,442,0.94,Medium
92,76,60,2,64,23,19,310,0.92,High
91,195,64,0,66,24,13,442,0.87,High
80,427,119,4,69,26,18,420,0.86,Medium
52,893,127,11,55,46,13,358,0.92,Low
90,25,54,0,61,22,19,357,0.77,High
72,809,133,13,64,46,14,310,0.94,Low
66,700,178,18,58,46,13,319,0.92,Low
80,101,62,2,60,22,14,456,0.81,High
73,580,143,12,64,47,17,369,0.86,Low
97,35,76,1,69,23,18,382,0.86,High
62,849,155,15,60,44,14,305,0.91,Low
70,391,113,8,56,38,12,371,0.84,Medium
71,455,80,8,58,38,18,366,0.77,Medium
87,301,119,9,73,28,17,413,0.8,Medium
87,467,109,6,68,30,15,441,0.9,Medium
68,644,177,16,69,48,12,321,0.83,Low
97,165,80,2,71,21,18,456,0.72,High
54,873,113,11,56,41,15,312,0.94,Low
70,219,88,8,58,25,12,317,0.87,Medium
99,13,47,0,72,24,13,373,0.89,High
85,483,78,8,73,38,18,414,0.83,Medium
59,825,154,13,58,44,12,435,0.93,Low
91,103,46,1,59,16,16,404,0.86,High
103,121,44,1,71,16,18,417,0.85,High
71,541,140,15,66,42,19,407,0.83,Low
82,523,172,12,74,49,13,396,0.88,Low
55,694,179,19,55,48,18,362,0.75,Low
69,400,113,8,58,38,12,384,0.89,Medium
98,16,50,3,69,22,17,315,0.75,High
57,646,116,11,58,41,16,376,0.71,Low
67,517,153,10,67,49,15,439,0.79,Low
63,544,117,12,67,42,17,435,0.88,Low
72,418,98,5,57,28,15,442,0.73,Medium
75,678,156,19,71,43,14,304,0.82,Low
84,486,123,4,71,39,12,400,0.83,Medium
73,867,121,18,70,49,19,329,0.85,Low
56,760,166,12,56,48,13,320,0.74,Low
74,395,73,7,63,25,13,463,0.75,Medium
80,268,80,8,61,38,19,450,0.72,Medium
78,317,119,9,60,39,14,343,0.95,Medium
69,891,118,12,64,47,18,389,0.71,Low
80,328,83,7,64,39,18,465,0.82,Medium
74,552,127,17,74,41,18,397,0.79,Low
56,829,164,14,58,47,18,408,0.74,Low
75,360,109,7,61,31,15,471,0.76,Medium
83,9,51,0,60,21,18,318,0.94,High
96,165,67,0,69,18,13,388,0.75,High
55,583,130,11,57,40,19,355,0.79,Low
64,815,165,16,65,49,16,348,0.83,Low
85,142,50,1,57,18,13,358,0.72,High
101,144,65,1,69,23,15,477,0.91,High
77,439,128,8,58,35,16,361,0.78,Medium
65,528,129,17,70,49,18,329,0.84,Low
103,55,44,2,71,19,15,334,0.74,High
64,590,163,16,55,44,13,303,0.79,Low
91,51,49,0,68,16,15,437,0.77,High
66,718,172,16,60,42,13,387,0.83,Low
90,184,68,3,62,22,18,304,0.8,High
58,810,105,18,63,42,13,346,0.76,Low
77,271,91,5,59,32,16,418,0.83,Medium
84,428,120,5,72,28,14,436,0.89,Medium
83,81,64,2,57,24,12,407,0.91,High
74,896,115,17,66,47,13,327,0.79,Low
92,7,67,2,67,22,18,405,0.95,High
84,379,109,6,70,38,16,322,0.92,Medium
89,14,69,1,65,22,14,314,0.91,High
76,661,141,13,69,49,18,397,0.93,Low
72,386,84,5,58,30,14,324,0.93,Medium
78,470,125,6,65,31,14,425,0.88,Medium
98,32,80,3,70,21,19,410,0.72,High
101,147,77,1,71,24,17,468,0.76,High
83,81,45,0,59,24,13,322,0.8,High
75,536,169,18,71,49,15,465,0.71,Low
94,138,76,1,71,22,18,466,0.76,High
83,388,106,7,64,28,15,447,0.79,Medium
58,756,157,10,62,45,14,443,0.87,Low
76,522,141,14,70,47,13,315,0.71,Low
64,520,128,12,62,48,18,395,0.91,Low
87,120,55,0,61,23,12,302,0.74,High
97,149,78,3,73,17,19,416,0.83,High
85,130,57,3,57,19,19,417,0.89,High
78,118,61,1,57,16,16,302,0.87,High
79,553,104,13,73,45,12,461,0.86,Low
91,34,48,2,71,20,18,325,0.71,High
88,51,80,1,57,15,13,413,0.79,High
84,206,87,7,65,26,19,393,0.84,Medium
69,894,159,19,62,45,14,449,0.75,Low
97,42,52,1,74,15,17,365,0.77,High
79,404,99,5,67,28,16,466,0.79,Medium
73,357,71,6,55,31,18,326,0.9,Medium
76,269,125,9,66,35,13,468,0.74,Medium
58,778,164,11,58,48,13,334,0.93,Low
63,830,135,18,59,45,19,336,0.9,Low
81,233,78,8,63,30,13,354,0.95,Medium
96,17,68,2,67,18,16,359,0.8,High
78,353,94,6,60,26,19,318,0.77,Medium
94,40,50,2,61,18,12,375,0.86,High
75,611,157,11,70,48,19,460,0.71,Low
74,215,90,8,55,28,14,348,0.73,Medium
89,170,74,3,61,22,17,353,0.71,High
91,82,79,1,57,19,13,391,0.72,High
89,134,82,3,59,16,18,412,0.88,High
85,256,83,5,72,33,16,306,0.75,Medium
66,865,126,13,66,46,18,383,0.78,Low
97,9,54,2,64,15,12,424,0.78,High
56,876,123,15,60,40,14,378,0.93,Low
96,40,54,2,65,23,17,453,0.83,High
84,156,66,1,61,16,18,339,0.71,High
84,279,124,5,74,35,17,463,0.94,Medium
78,496,109,6,61,27,18,386,0.8,Medium
75,283,91,8,63,35,18,309,0.85,Medium
78,257,96,9,61,33,14,343,0.87,Medium
90,190,64,1,60,17,13,478,0.7,High
91,67,87,1,58,19,13,317,0.8,High
89,119,54,3,69,17,15,354,0.71,High
73,679,137,12,64,47,19,475,0.88,Low
62,670,118,14,58,44,18,304,0.77,Low
68,586,176,12,61,43,18,458,0.93,Low
85,229,92,5,66,38,13,450,0.77,Medium
70,802,106,15,63,41,19,336,0.78,Low
85,223,124,4,74,29,16,386,0.85,Medium
96,172,63,2,64,17,13,408,0.76,High
102,49,49,1,74,20,17,392,0.93,High
61,591,110,12,60,47,14,408,0.93,Low
104,100,48,2,74,16,14,336,0.91,High
55,743,129,14,56,41,19,328,0.72,Low
79,96,87,2,56,20,17,477,0.75,High
73,376,113,9,55,37,15,386,0.71,Medium
71,328,71,6,55,36,16,472,0.8,Medium
77,814,163,15,71,47,18,356,0.85,Low
75,347,110,4,60,33,17,361,0.83,Medium
81,298,95,8,64,37,18,430,0.91,Medium
85,453,110,8,74,31,17,320,0.86,Medium
83,408,104,7,65,26,13,348,0.94,Medium
56,673,152,11,58,43,13,323,0.79,Low
91,307,78,4,74,28,14,327,0.91,Medium
97,174,64,3,65,23,12,310,0.81,High
76,257,97,9,61,26,17,419,0.78,Medium
92,166,46,3,63,17,14,318,0.83,High
53,582,119,15,58,48,19,385,0.74,Low
79,403,100,8,68,36,14,337,0.86,Medium
51,765,173,11,55,47,15,462,0.72,Low
89,431,115,8,73,25,14,362,0.73,Medium
68,362,104,7,57,34,17,434,0.77,Medium
88,175,57,3,65,18,12,385,0.83,High
89,143,47,3,68,17,18,338,0.88,High
96,153,41,2,62,15,18,477,0.81,High
83,390,99,6,73,34,15,423,0.88,Medium
70,791,155,13,73,48,14,335,0.84,Low
84,148,75,0,58,21,19,427,0.94,High
76,597,107,14,68,47,16,311,0.75,Low
91,122,63,2,59,15,12,473,0.71,High
84,279,117,4,68,39,18,369,0.72,Medium
72,782,158,13,65,42,15,454,0.94,Low
62,847,158,18,64,41,13,412,0.72,Low
104,124,51,2,71,21,14,425,0.86,High
72,289,122,5,61,39,14,403,0.91,Medium
86,197,53,0,64,22,19,388,0.85,High
75,401,97,7,65,30,17,466,0.9,Medium
96,34,55,2,71,16,17,416,0.73,High
58,500,142,16,60,47,15,359,0.74,Low
89,199,52,1,58,16,17,386,0.86,High
87,338,90,4,72,32,19,367,0.9,Medium
87,432,77,5,72,33,12,365,0.79,Medium
82,431,96,8,70,27,14,331,0.9,Medium
76,481,88,5,60,37,12,420,0.71,Medium
79,547,161,11,71,41,14,362,0.73,Low
67,732,173,12,66,42,12,463,0.82,Low
87,241,98,7,69,36,16,352,0.78,Medium
